Categorias,Linea,Sublinea,Nombre,Precio1,Precio2,Medidas,Estructura,Espuma,Tela,Origen,Certifications,Tiempo de entrega,Materiales,Img_url,Product_url
Salas ,Salas ,Sofás,Sofá Modular Emma,3120000,4851000,,,Espuma industrializada de alta densidad > Resortes Encapsulados independientes.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/1.SOFA-EMMA-2P.jpg,https://aristas.co/producto/sofa-modular-emma/
Salas ,Salas ,Sofás,Sofá Kaira,1900016,2055000,,21 días hábiles,Espuma industrializada de alta densidad.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2020/07/Sofa-Kaira-frente.jpg,https://aristas.co/producto/sofa-kaira/
Salas ,Salas ,Sofás,Sofá Duomo,3082000,3900000,,21 días hábiles,Espuma industrializada de alta densidad,"Telas de alta resistencia al desgaste – Tipo Lona Microfibra., Telas de alta resistencia al desgaste.",100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1.Sofa-duomo-plumas-3-ptos.jpg,https://aristas.co/producto/sofa-duomo/
Salas ,Salas ,Sofás,Sofá Lucca 3 Puestos Imp,4999000,,,,Espuma industrializada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,Medio Oriente ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,8 días hábiles.,,https://aristas.co/wp-content/uploads/2023/10/Frente-1.jpg,https://aristas.co/producto/sofa-lucca-3-puestos-imp/
Salas ,Salas ,Sofás,Sofá 3P Bonn 658 Imp,5999000,5999001,,,Espuma industrializada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,Medio Oriente ,,8 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/sofa-bomm-3-puestos-frente-1.jpg,https://aristas.co/producto/sofa-3p-bonn-gris-imp/
Salas ,Salas ,Salas en L,Sala en L Modular Emma Esquinero + Puff,7936000,8640000,,Patas taco con acabo en pintura color ceniza,Espuma industrializada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2024/01/frente-1.jpg,https://aristas.co/producto/sala-en-l-modular-emma-esquinero-puff/
Salas ,Salas ,Salas en L,Sala en L Modular Demand,5418000,6649000,,Resorte Pocket . Resorte Nosag. Espuma industrializada flexible de poliuretano de alta densidad y alta resistencia. Patas Milán con acabados en pintura: Color Cenizo.,,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/sala-en-L-Demand-34-scaled-1.jpg,https://aristas.co/producto/sala-en-l-modular-demand/
Salas ,Salas ,Salas en L,Sala en L Modular Emma Con Puff,7172000,8019000,,,Espuma industrializada de alta densidad > Resortes Encapsulados independientes.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/2.SALA-EN-L-MODULAR-EMMA-PUFF-TAPIZADO.jpg,https://aristas.co/producto/sala-en-l-modular-emma-con-puff/
Salas ,Salas ,Salas en L,Sala En L Modular Palermo,6943000,7999000,,,,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/09/frente-1-1.jpg,https://aristas.co/producto/sala-en-l-modular-palermo/
Salas ,Salas ,Salas en L,Sala En L Roma 5 Módulos,8306823,9410001,,,"Espuma industrializada de alta densidad y resiliencia – Resortes en cincha, Nosag y pocket en el asiento",Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/1.Sala-en-L-roma-5-modulos.jpg,https://aristas.co/producto/sala-en-l-roma-5-modulos/
